"journal","data","values"
"Abstract and Applied Analysis","Acceptance rate","8%"
"Abstract and Applied Analysis","Submission to final decision","82 days"
"Abstract and Applied Analysis","Acceptance to publication","27 days"
"Abstract and Applied Analysis","CiteScore","1.600"
"Abstract and Applied Analysis","Journal Citation Indicator","-"
"Abstract and Applied Analysis","Impact Factor","-"
"Abstract and Applied Analysis","APC","$1080"
"Abstract and Applied Analysis","Acceptance rate","7%"
"Abstract and Applied Analysis","Submission to final decision","109 days"
"Abstract and Applied Analysis","Acceptance to publication","17 days"
"Abstract and Applied Analysis","CiteScore","5.600"
"Abstract and Applied Analysis","Journal Citation Indicator","0.830"
"Abstract and Applied Analysis","Impact Factor","3.5"
"Acta Neurologica Scandinavica","APC","$2370"
"Acta Neurologica Scandinavica","Acceptance rate","-"
"Acta Neurologica Scandinavica","Submission to final decision","-"
"Acta Neurologica Scandinavica","Acceptance to publication","-"
"Acta Neurologica Scandinavica","CiteScore","1.500"
"Acta Neurologica Scandinavica","Journal Citation Indicator","0.080"
"Acta Neurologica Scandinavica","Impact Factor","0.4"
"Active and Passive Electronic Components","APC","$950"
"Active and Passive Electronic Components","Acceptance rate","27%"
"Active and Passive Electronic Components","Submission to final decision","76 days"
"Active and Passive Electronic Components","Acceptance to publication","19 days"
"Active and Passive Electronic Components","CiteScore","4.300"
"Active and Passive Electronic Components","Journal Citation Indicator","0.490"
"Active and Passive Electronic Components","Impact Factor","2.9"
"Adsorption Science & Technology","APC","$1500"
"Adsorption Science & Technology","Acceptance rate","18%"
"Adsorption Science & Technology","Submission to final decision","65 days"
"Adsorption Science & Technology","Acceptance to publication","15 days"
"Adsorption Science & Technology","CiteScore","-"
"Adsorption Science & Technology","Journal Citation Indicator","-"
"Adsorption Science & Technology","Impact Factor","-"
"Advanced Gut & Microbiome Research","APC","FREE - limited time"
"Advanced Gut & Microbiome Research","Acceptance rate","8%"
"Advanced Gut & Microbiome Research","Submission to final decision","111 days"
"Advanced Gut & Microbiome Research","Acceptance to publication","21 days"
"Advanced Gut & Microbiome Research","CiteScore","1.800"
"Advanced Gut & Microbiome Research","Journal Citation Indicator","-"
"Advanced Gut & Microbiome Research","Impact Factor","-"
"Advances in Agriculture","APC","$820"
"Advances in Agriculture","Acceptance rate","15%"
"Advances in Agriculture","Submission to final decision","72 days"
"Advances in Agriculture","Acceptance to publication","22 days"
"Advances in Agriculture","CiteScore","2.500"
"Advances in Agriculture","Journal Citation Indicator","0.250"
"Advances in Agriculture","Impact Factor","1.4"
"Advances in Astronomy","APC","$1080"
"Advances in Cell and Gene Therapy","APC","$800"
"Advances in Cell and Gene Therapy","Acceptance rate","22%"
"Advances in Cell and Gene Therapy","Submission to final decision","93 days"
"Advances in Cell and Gene Therapy","Acceptance to publication","23 days"
"Advances in Cell and Gene Therapy","CiteScore","3.400"
"Advances in Cell and Gene Therapy","Journal Citation Indicator","0.370"
"Advances in Cell and Gene Therapy","Impact Factor","1.8"
"Advances in Civil Engineering","APC","$2630"
"Advances in Civil Engineering","Acceptance rate","14%"
"Advances in Civil Engineering","Submission to final decision","78 days"
"Advances in Civil Engineering","Acceptance to publication","19 days"
"Advances in Civil Engineering","CiteScore","2.500"
"Advances in Civil Engineering","Journal Citation Indicator","0.210"
"Advances in Civil Engineering","Impact Factor","1.5"
"Advances in Condensed Matter Physics","APC","$1550"
"Advances in Condensed Matter Physics","Acceptance rate","12%"
"Advances in Condensed Matter Physics","Submission to final decision","90 days"
"Advances in Condensed Matter Physics","Acceptance to publication","29 days"
"Advances in Condensed Matter Physics","CiteScore","3.200"
"Advances in Condensed Matter Physics","Journal Citation Indicator","0.500"
"Advances in Condensed Matter Physics","Impact Factor","1.3"
"Advances in Fuzzy Systems","APC","$950"
"Advances in Fuzzy Systems","Acceptance rate","-"
"Advances in Fuzzy Systems","Submission to final decision","-"
"Advances in Fuzzy Systems","Acceptance to publication","-"
